# Job started on: Thu Oct  8 20:20:48 CEST 2020 .....
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:21:36 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -10
# etamax = 10
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass
  46.5000 2.6014e+04 2.2493e+04 3.0114e+04 2.2518e+04 3.0093e+04 2.5597e+04 2.6426e+04
  47.5000 2.3441e+04 2.0299e+04 2.7081e+04 2.0321e+04 2.7063e+04 2.3075e+04 2.3803e+04
  48.5000 2.1161e+04 1.8352e+04 2.4400e+04 1.8370e+04 2.4384e+04 2.0838e+04 2.1479e+04
  49.5000 1.9137e+04 1.6619e+04 2.2025e+04 1.6635e+04 2.2012e+04 1.8852e+04 1.9417e+04
  50.5000 1.7336e+04 1.5074e+04 1.9918e+04 1.5088e+04 1.9906e+04 1.7084e+04 1.7584e+04
  51.5000 1.5729e+04 1.3695e+04 1.8042e+04 1.3707e+04 1.8031e+04 1.5506e+04 1.5949e+04
  52.5000 1.4294e+04 1.2461e+04 1.6369e+04 1.2472e+04 1.6359e+04 1.4096e+04 1.4489e+04
  53.5000 1.3009e+04 1.1354e+04 1.4874e+04 1.1364e+04 1.4866e+04 1.2833e+04 1.3183e+04
  54.5000 1.1857e+04 1.0361e+04 1.3536e+04 1.0369e+04 1.3529e+04 1.1699e+04 1.2012e+04
  55.5000 1.0822e+04 9.4676e+03 1.2336e+04 9.4749e+03 1.2330e+04 1.0681e+04 1.0961e+04
  56.5000 9.8914e+03 8.6629e+03 1.1259e+04 8.6694e+03 1.1254e+04 9.7653e+03 1.0016e+04
  57.5000 9.0529e+03 7.9371e+03 1.0291e+04 7.9428e+03 1.0286e+04 8.9397e+03 9.1643e+03
  58.5000 8.2963e+03 7.2813e+03 9.4179e+03 7.2864e+03 9.4134e+03 8.1945e+03 8.3964e+03
  59.5000 7.6126e+03 6.6880e+03 8.6306e+03 6.6926e+03 8.6266e+03 7.5210e+03 7.7028e+03
  60.5000 6.9941e+03 6.1506e+03 7.9193e+03 6.1546e+03 7.9158e+03 6.9114e+03 7.0754e+03
  61.5000 6.4336e+03 5.6630e+03 7.2758e+03 5.6667e+03 7.2726e+03 6.3589e+03 6.5071e+03
  62.5000 5.9249e+03 5.2200e+03 6.6926e+03 5.2233e+03 6.6897e+03 5.8572e+03 5.9914e+03
  63.5000 5.4624e+03 4.8168e+03 6.1632e+03 4.8197e+03 6.1606e+03 5.4011e+03 5.5227e+03
  64.5000 5.0414e+03 4.4494e+03 5.6821e+03 4.4521e+03 5.6797e+03 4.9857e+03 5.0962e+03
  65.5000 4.6578e+03 4.1143e+03 5.2442e+03 4.1166e+03 5.2421e+03 4.6071e+03 4.7076e+03
  66.5000 4.3077e+03 3.8081e+03 4.8452e+03 3.8103e+03 4.8432e+03 4.2615e+03 4.3531e+03
  67.5000 3.9879e+03 3.5282e+03 4.4811e+03 3.5301e+03 4.4794e+03 3.9458e+03 4.0293e+03
  68.5000 3.6955e+03 3.2719e+03 4.1486e+03 3.2737e+03 4.1471e+03 3.6570e+03 3.7333e+03
  69.5000 3.4277e+03 3.0371e+03 3.8446e+03 3.0387e+03 3.8431e+03 3.3925e+03 3.4623e+03
  70.5000 3.1823e+03 2.8217e+03 3.5662e+03 2.8232e+03 3.5649e+03 3.1501e+03 3.2141e+03
  71.5000 2.9572e+03 2.6240e+03 3.3111e+03 2.6253e+03 3.3099e+03 2.9276e+03 2.9863e+03
  72.5000 2.7505e+03 2.4421e+03 3.0770e+03 2.4433e+03 3.0759e+03 2.7233e+03 2.7772e+03
  73.5000 2.5605e+03 2.2749e+03 2.8620e+03 2.2760e+03 2.8610e+03 2.5355e+03 2.5851e+03
  74.5000 2.3856e+03 2.1209e+03 2.6643e+03 2.1219e+03 2.6634e+03 2.3626e+03 2.4083e+03
  75.5000 2.2246e+03 1.9789e+03 2.4824e+03 1.9798e+03 2.4816e+03 2.2034e+03 2.2455e+03
  76.5000 2.0761e+03 1.8479e+03 2.3148e+03 1.8487e+03 2.3141e+03 2.0565e+03 2.0954e+03
  77.5000 1.9390e+03 1.7268e+03 2.1603e+03 1.7276e+03 2.1596e+03 1.9209e+03 1.9568e+03
  78.5000 1.8128e+03 1.6154e+03 2.0182e+03 1.6161e+03 2.0176e+03 1.7961e+03 1.8293e+03
  79.5000 1.6956e+03 1.5117e+03 1.8864e+03 1.5124e+03 1.8858e+03 1.6802e+03 1.7109e+03
  80.5000 1.5871e+03 1.4157e+03 1.7645e+03 1.4163e+03 1.7639e+03 1.5728e+03 1.6013e+03
  81.5000 1.4866e+03 1.3268e+03 1.6516e+03 1.3273e+03 1.6511e+03 1.4733e+03 1.4998e+03
  82.5000 1.3934e+03 1.2442e+03 1.5471e+03 1.2448e+03 1.5466e+03 1.3811e+03 1.4056e+03
  83.5000 1.3070e+03 1.1676e+03 1.4502e+03 1.1681e+03 1.4498e+03 1.2955e+03 1.3183e+03
  84.5000 1.2267e+03 1.0964e+03 1.3603e+03 1.0969e+03 1.3599e+03 1.2160e+03 1.2372e+03
  85.5000 1.1520e+03 1.0302e+03 1.2769e+03 1.0307e+03 1.2765e+03 1.1421e+03 1.1619e+03
  86.5000 1.0827e+03 9.6866e+02 1.1993e+03 9.6904e+02 1.1989e+03 1.0734e+03 1.0918e+03
  87.5000 1.0181e+03 9.1132e+02 1.1271e+03 9.1167e+02 1.1268e+03 1.0095e+03 1.0267e+03
  88.5000 9.5796e+02 8.5790e+02 1.0600e+03 8.5822e+02 1.0597e+03 9.4990e+02 9.6595e+02
  89.5000 9.0192e+02 8.0808e+02 9.9746e+02 8.0838e+02 9.9717e+02 8.9439e+02 9.0938e+02
  90.5000 8.4965e+02 7.6161e+02 9.3917e+02 7.6189e+02 9.3889e+02 8.4261e+02 8.5662e+02
  91.5000 8.0088e+02 7.1822e+02 8.8480e+02 7.1848e+02 8.8454e+02 7.9429e+02 8.0740e+02
  92.5000 7.5533e+02 6.7769e+02 8.3405e+02 6.7793e+02 8.3381e+02 7.4917e+02 7.6144e+02
  93.5000 7.1277e+02 6.3979e+02 7.8665e+02 6.4002e+02 7.8643e+02 7.0700e+02 7.1850e+02
  94.5000 6.7297e+02 6.0433e+02 7.4235e+02 6.0455e+02 7.4214e+02 6.6756e+02 6.7834e+02
  95.5000 6.3573e+02 5.7113e+02 7.0093e+02 5.7133e+02 7.0073e+02 6.3065e+02 6.4076e+02
  96.5000 6.0086e+02 5.4002e+02 6.6217e+02 5.4020e+02 6.6199e+02 5.9608e+02 6.0558e+02
  97.5000 5.6818e+02 5.1085e+02 6.2588e+02 5.1103e+02 6.2571e+02 5.6370e+02 5.7263e+02
  98.5000 5.3758e+02 4.8350e+02 5.9192e+02 4.8367e+02 5.9176e+02 5.3335e+02 5.4177e+02
  99.5000 5.0886e+02 4.5783e+02 5.6006e+02 4.5799e+02 5.5990e+02 5.0488e+02 5.1280e+02
