# Job started on: Thu Oct  8 20:28:14 CEST 2020 ....
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:28:52 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -2.8
# etamax = 2.8
# Uncertainties from scales, masses combined quadratically
# cross section is ds/dpt (pb/GeV)
# pt      central      min       max       min_sc     max_sc     min_mass   max_mass
  46.5000 2.3492e+04 2.0322e+04 2.7171e+04 2.0345e+04 2.7152e+04 2.3116e+04 2.3861e+04
  47.5000 2.1213e+04 1.8379e+04 2.4486e+04 1.8399e+04 2.4470e+04 2.0883e+04 2.1538e+04
  48.5000 1.9189e+04 1.6650e+04 2.2108e+04 1.6667e+04 2.2094e+04 1.8898e+04 1.9476e+04
  49.5000 1.7388e+04 1.5108e+04 1.9997e+04 1.5123e+04 1.9984e+04 1.7131e+04 1.7642e+04
  50.5000 1.5782e+04 1.3731e+04 1.8119e+04 1.3743e+04 1.8108e+04 1.5554e+04 1.6006e+04
  51.5000 1.4347e+04 1.2498e+04 1.6444e+04 1.2509e+04 1.6434e+04 1.4144e+04 1.4546e+04
  52.5000 1.3061e+04 1.1392e+04 1.4946e+04 1.1402e+04 1.4938e+04 1.2881e+04 1.3239e+04
  53.5000 1.1908e+04 1.0399e+04 1.3606e+04 1.0408e+04 1.3598e+04 1.1748e+04 1.2066e+04
  54.5000 1.0873e+04 9.5059e+03 1.2404e+04 9.5135e+03 1.2397e+04 1.0729e+04 1.1014e+04
  55.5000 9.9406e+03 8.7010e+03 1.1324e+04 8.7077e+03 1.1318e+04 9.8120e+03 1.0067e+04
  56.5000 9.1006e+03 7.9746e+03 1.0352e+04 7.9805e+03 1.0347e+04 8.9853e+03 9.2141e+03
  57.5000 8.3425e+03 7.3181e+03 9.4767e+03 7.3233e+03 9.4721e+03 8.2388e+03 8.4445e+03
  58.5000 7.6572e+03 6.7239e+03 8.6866e+03 6.7286e+03 8.6825e+03 7.5639e+03 7.7490e+03
  59.5000 7.0370e+03 6.1853e+03 7.9726e+03 6.1895e+03 7.9689e+03 6.9528e+03 7.1197e+03
  60.5000 6.4748e+03 5.6966e+03 7.3265e+03 5.7003e+03 7.3232e+03 6.3987e+03 6.5496e+03
  61.5000 5.9646e+03 5.2525e+03 6.7409e+03 5.2558e+03 6.7380e+03 5.8957e+03 6.0322e+03
  62.5000 5.5007e+03 4.8483e+03 6.2094e+03 4.8513e+03 6.2067e+03 5.4383e+03 5.5620e+03
  63.5000 5.0784e+03 4.4799e+03 5.7261e+03 4.4826e+03 5.7237e+03 5.0217e+03 5.1340e+03
  64.5000 4.6933e+03 4.1436e+03 5.2862e+03 4.1461e+03 5.2841e+03 4.6417e+03 4.7438e+03
  65.5000 4.3418e+03 3.8365e+03 4.8853e+03 3.8387e+03 4.8833e+03 4.2948e+03 4.3878e+03
  66.5000 4.0206e+03 3.5555e+03 4.5194e+03 3.5575e+03 4.5176e+03 3.9778e+03 4.0626e+03
  67.5000 3.7267e+03 3.2982e+03 4.1850e+03 3.3000e+03 4.1834e+03 3.6876e+03 3.7651e+03
  68.5000 3.4576e+03 3.0624e+03 3.8793e+03 3.0640e+03 3.8778e+03 3.4218e+03 3.4927e+03
  69.5000 3.2109e+03 2.8460e+03 3.5992e+03 2.8475e+03 3.5979e+03 3.1782e+03 3.2431e+03
  70.5000 2.9845e+03 2.6472e+03 3.3425e+03 2.6486e+03 3.3413e+03 2.9544e+03 3.0140e+03
  71.5000 2.7765e+03 2.4644e+03 3.1069e+03 2.4657e+03 3.1058e+03 2.7489e+03 2.8036e+03
