# Job started on: Thu Oct  8 20:24:11 CEST 2020 ................
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:26:45 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -9.95
# etamax = 9.95
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
  -3.3500 4.2540e+07 2.5940e+07 6.1763e+07 2.6920e+07 6.0550e+07 3.6920e+07 4.9260e+07
  -3.2500 4.3710e+07 2.6636e+07 6.3420e+07 2.7630e+07 6.2180e+07 3.7970e+07 5.0590e+07
  -3.1500 4.4830e+07 2.7298e+07 6.5008e+07 2.8310e+07 6.3740e+07 3.8960e+07 5.1870e+07
  -3.0500 4.5900e+07 2.7932e+07 6.6511e+07 2.8960e+07 6.5220e+07 3.9910e+07 5.3080e+07
  -2.9500 4.6910e+07 2.8525e+07 6.7928e+07 2.9570e+07 6.6620e+07 4.0800e+07 5.4210e+07
  -2.8500 4.7840e+07 2.9082e+07 6.9245e+07 3.0140e+07 6.7910e+07 4.1630e+07 5.5280e+07
  -2.7500 4.8710e+07 2.9598e+07 7.0462e+07 3.0670e+07 6.9110e+07 4.2400e+07 5.6260e+07
  -2.6500 4.9490e+07 3.0069e+07 7.1562e+07 3.1150e+07 7.0190e+07 4.3100e+07 5.7150e+07
  -2.5500 5.0200e+07 3.0494e+07 7.2534e+07 3.1590e+07 7.1150e+07 4.3720e+07 5.7940e+07
  -2.4500 5.0810e+07 3.0864e+07 7.3382e+07 3.1970e+07 7.1980e+07 4.4260e+07 5.8640e+07
  -2.3500 5.1330e+07 3.1185e+07 7.4095e+07 3.2300e+07 7.2680e+07 4.4720e+07 5.9230e+07
  -2.2500 5.1740e+07 3.1449e+07 7.4666e+07 3.2570e+07 7.3240e+07 4.5090e+07 5.9700e+07
  -2.1500 5.2050e+07 3.1655e+07 7.5084e+07 3.2780e+07 7.3650e+07 4.5370e+07 6.0050e+07
  -2.0500 5.2250e+07 3.1779e+07 7.5332e+07 3.2910e+07 7.3890e+07 4.5540e+07 6.0280e+07
  -1.9500 5.2340e+07 3.1856e+07 7.5425e+07 3.2990e+07 7.3980e+07 4.5620e+07 6.0380e+07
  -1.8500 5.2310e+07 3.1874e+07 7.5348e+07 3.3010e+07 7.3900e+07 4.5590e+07 6.0350e+07
  -1.7500 5.2160e+07 3.1825e+07 7.5107e+07 3.2960e+07 7.3660e+07 4.5460e+07 6.0180e+07
  -1.6500 5.1900e+07 3.1697e+07 7.4705e+07 3.2830e+07 7.3260e+07 4.5230e+07 5.9890e+07
  -1.5500 5.1530e+07 3.1516e+07 7.4140e+07 3.2650e+07 7.2700e+07 4.4890e+07 5.9470e+07
  -1.4500 5.1040e+07 3.1267e+07 7.3367e+07 3.2390e+07 7.1930e+07 4.4470e+07 5.8920e+07
  -1.3500 5.0490e+07 3.0953e+07 7.2516e+07 3.2080e+07 7.1100e+07 4.3950e+07 5.8260e+07
  -1.2500 4.9820e+07 3.0589e+07 7.1543e+07 3.1710e+07 7.0140e+07 4.3350e+07 5.7500e+07
  -1.1500 4.9040e+07 3.0207e+07 7.0488e+07 3.1310e+07 6.9070e+07 4.2690e+07 5.6710e+07
  -1.0500 4.8230e+07 2.9770e+07 6.9316e+07 3.0860e+07 6.7910e+07 4.1980e+07 5.5800e+07
  -0.9500 4.7390e+07 2.9299e+07 6.8056e+07 3.0380e+07 6.6690e+07 4.1230e+07 5.4780e+07
  -0.8500 4.6530e+07 2.8821e+07 6.6808e+07 2.9890e+07 6.5460e+07 4.0470e+07 5.3800e+07
  -0.7500 4.5670e+07 2.8346e+07 6.5560e+07 2.9400e+07 6.4230e+07 3.9720e+07 5.2820e+07
  -0.6500 4.4850e+07 2.7876e+07 6.4373e+07 2.8920e+07 6.3060e+07 3.8990e+07 5.1890e+07
  -0.5500 4.4090e+07 2.7438e+07 6.3257e+07 2.8470e+07 6.1960e+07 3.8320e+07 5.1020e+07
  -0.4500 4.3410e+07 2.7058e+07 6.2270e+07 2.8080e+07 6.0990e+07 3.7720e+07 5.0240e+07
  -0.3500 4.2830e+07 2.6727e+07 6.1437e+07 2.7740e+07 6.0170e+07 3.7210e+07 4.9580e+07
  -0.2500 4.2380e+07 2.6464e+07 6.0779e+07 2.7470e+07 5.9520e+07 3.6810e+07 4.9070e+07
  -0.1500 4.2070e+07 2.6289e+07 6.0330e+07 2.7290e+07 5.9080e+07 3.6540e+07 4.8710e+07
  -0.0500 4.1910e+07 2.6202e+07 6.0098e+07 2.7200e+07 5.8850e+07 3.6400e+07 4.8530e+07
   0.0500 4.1910e+07 2.6202e+07 6.0098e+07 2.7200e+07 5.8850e+07 3.6400e+07 4.8530e+07
   0.1500 4.2070e+07 2.6289e+07 6.0330e+07 2.7290e+07 5.9080e+07 3.6540e+07 4.8710e+07
   0.2500 4.2380e+07 2.6464e+07 6.0779e+07 2.7470e+07 5.9520e+07 3.6810e+07 4.9070e+07
   0.3500 4.2830e+07 2.6727e+07 6.1437e+07 2.7740e+07 6.0170e+07 3.7210e+07 4.9580e+07
