mass ctau ul
500 1 5.72725e-10
510 1 3.31503e-10
520 1 3.45204e-10
530 1 3.57699e-10
540 1 4.1861e-10
550 1 2.9621e-10
560 1 4.46733e-10
570 1 3.48086e-10
580 1 3.2685e-10
590 1 2.46829e-10
600 1 3.1269e-10
610 1 3.25802e-10
620 1 2.95928e-10
630 1 2.67817e-10
640 1 2.60083e-10
650 1 2.7228e-10
660 1 2.2874e-10
670 1 2.32744e-10
680 1 3.04589e-10
690 1 2.72889e-10
700 1 3.39215e-10
710 1 2.43877e-10
720 1 2.42633e-10
730 1 2.35718e-10
740 1 2.28999e-10
750 1 3.49071e-10
760 1 3.57668e-10
770 1 3.68973e-10
780 1 3.61715e-10
790 1 5.93233e-10
800 1 5.14374e-10
810 1 3.70653e-10
820 1 2.73855e-10
830 1 3.22839e-10
840 1 3.14053e-10
850 1 2.4245e-10
860 1 2.2934e-10
870 1 2.29428e-10
880 1 2.38737e-10
890 1 2.3291e-10
900 1 2.38704e-10
910 1 2.32357e-10
920 1 2.32788e-10
930 1 3.0864e-10
940 1 3.39036e-10
950 1 3.35894e-10
960 1 3.30226e-10
970 1 2.97382e-10
980 1 3.62416e-10
990 1 2.46361e-10
1000 1 2.4659e-10
1010 1 2.46112e-10
1020 1 3.69515e-10
1030 1 3.66873e-10
1040 1 3.63639e-10
1050 1 2.46916e-10
1060 1 2.47069e-10
1070 1 5.03682e-10
1080 1 5.12589e-10
1090 1 5.18345e-10
1100 1 3.81657e-10
1110 1 3.25197e-10
1120 1 3.37504e-10
1130 1 3.40454e-10
1140 1 2.49406e-10
1150 1 3.45265e-10
1160 1 3.48828e-10
1170 1 3.4111e-10
1180 1 2.37465e-10
1190 1 2.37491e-10
1200 1 2.39913e-10
1210 1 2.31621e-10
1220 1 2.54267e-10
1230 1 2.68262e-10
1240 1 4.01182e-10
1250 1 5.36809e-10
1260 1 5.21773e-10
1270 1 3.74616e-10
1280 1 2.64653e-10
1290 1 2.53097e-10
1300 1 2.6033e-10
1310 1 3.24905e-10
1320 1 2.50686e-10
1330 1 2.49985e-10
1340 1 2.45392e-10
1350 1 2.38607e-10
1360 1 2.43852e-10
1370 1 2.34999e-10
1380 1 2.85951e-10
1390 1 2.83382e-10
1400 1 3.24519e-10
1410 1 3.5252e-10
1420 1 2.5479e-10
1430 1 3.44626e-10
1440 1 3.29311e-10
1450 1 3.1699e-10
1460 1 2.49756e-10
1470 1 2.52519e-10
1480 1 2.53287e-10
1490 1 3.39013e-10
1500 1 4.40531e-10
1510 1 4.19368e-10
1520 1 3.45793e-10
1530 1 2.52214e-10
1540 1 2.52264e-10
1550 1 2.55303e-10
1560 1 2.5632e-10
1570 1 3.36535e-10
1580 1 3.35684e-10
1590 1 4.19566e-10
1600 1 4.75728e-10
1610 1 3.65293e-10
1620 1 2.5139e-10
1630 1 3.26115e-10
1640 1 2.74982e-10
1650 1 4.4555e-10
1660 1 4.70189e-10
1670 1 3.41532e-10
1680 1 3.50677e-10
1690 1 2.86066e-10
1700 1 3.06687e-10
1710 1 3.11031e-10
1720 1 6.13876e-10
1730 1 6.49317e-10
1740 1 6.9515e-10
1750 1 5.20774e-10
1760 1 2.89375e-10
1770 1 2.8741e-10
1780 1 2.82672e-10
1790 1 2.75054e-10
1800 1 2.67864e-10
1810 1 2.5836e-10
1820 1 2.52221e-10
1830 1 2.47315e-10
1840 1 2.51258e-10
1850 1 2.47607e-10
1860 1 2.48414e-10
1870 1 3.38309e-10
1880 1 3.59772e-10
1890 1 3.52396e-10
1900 1 3.48815e-10
1910 1 4.07603e-10
1920 1 3.87644e-10
1930 1 3.96019e-10
1940 1 2.51645e-10
1950 1 2.50468e-10
1960 1 2.49104e-10
1970 1 2.76616e-10
1980 1 2.67863e-10
1990 1 2.86194e-10
2000 1 4.10946e-10
2010 1 3.00363e-10
2020 1 2.98406e-10
2030 1 2.36444e-10
2040 1 2.82587e-10
