mass ctau ul
500 10 1.80425e-09
510 10 1.08817e-09
520 10 1.10647e-09
530 10 1.13222e-09
540 10 1.28995e-09
550 10 9.29914e-10
560 10 1.33258e-09
570 10 1.03782e-09
580 10 9.72116e-10
590 10 7.37822e-10
600 10 9.15611e-10
610 10 9.36696e-10
620 10 8.50201e-10
630 10 7.63495e-10
640 10 7.33288e-10
650 10 7.55134e-10
660 10 6.58113e-10
670 10 6.53116e-10
680 10 8.14796e-10
690 10 7.28483e-10
700 10 8.61319e-10
710 10 6.34085e-10
720 10 6.26673e-10
730 10 6.16026e-10
740 10 6.05083e-10
750 10 8.3317e-10
760 10 8.36992e-10
770 10 8.51063e-10
780 10 8.26117e-10
790 10 1.31102e-09
800 10 1.11404e-09
810 10 8.21729e-10
820 10 6.35232e-10
830 10 7.27342e-10
840 10 7.05626e-10
850 10 5.44757e-10
860 10 5.48084e-10
870 10 5.4243e-10
880 10 5.46381e-10
890 10 5.39868e-10
900 10 5.38107e-10
910 10 5.32642e-10
920 10 5.31015e-10
930 10 6.48018e-10
940 10 6.87869e-10
950 10 6.78015e-10
960 10 6.66829e-10
970 10 6.09419e-10
980 10 7.00656e-10
990 10 5.13023e-10
1000 10 5.09525e-10
1010 10 5.06211e-10
1020 10 6.89784e-10
1030 10 6.817e-10
1040 10 6.71141e-10
1050 10 4.94306e-10
1060 10 4.91981e-10
1070 10 8.37774e-10
1080 10 8.6765e-10
1090 10 8.3141e-10
1100 10 6.6394e-10
1110 10 5.88827e-10
1120 10 5.97271e-10
1130 10 5.94821e-10
1140 10 4.68829e-10
1150 10 5.89026e-10
1160 10 5.90103e-10
1170 10 5.82207e-10
1180 10 4.52277e-10
1190 10 4.50828e-10
1200 10 4.5082e-10
1210 10 4.43787e-10
1220 10 4.53395e-10
1230 10 4.7084e-10
1240 10 6.17485e-10
1250 10 7.5933e-10
1260 10 7.16596e-10
1270 10 5.75736e-10
1280 10 4.48948e-10
1290 10 4.32377e-10
1300 10 4.4023e-10
1310 10 5.14697e-10
1320 10 4.2495e-10
1330 10 4.21477e-10
1340 10 4.18992e-10
1350 10 4.14955e-10
1360 10 4.1353e-10
1370 10 4.01058e-10
1380 10 4.49266e-10
1390 10 4.43823e-10
1400 10 4.85087e-10
1410 10 5.04751e-10
1420 10 4.05112e-10
1430 10 4.94696e-10
1440 10 4.7825e-10
1450 10 4.62466e-10
1460 10 3.95908e-10
1470 10 3.94793e-10
1480 10 3.93524e-10
1490 10 4.73549e-10
1500 10 5.50978e-10
1510 10 5.3166e-10
1520 10 4.71803e-10
1530 10 3.8547e-10
1540 10 3.84866e-10
1550 10 3.8452e-10
1560 10 3.80881e-10
1570 10 4.50135e-10
1580 10 4.49417e-10
1590 10 5.07074e-10
1600 10 5.4371e-10
1610 10 4.64217e-10
1620 10 3.74566e-10
1630 10 4.32374e-10
1640 10 3.85961e-10
1650 10 5.11439e-10
1660 10 5.28045e-10
1670 10 4.37049e-10
1680 10 4.43194e-10
1690 10 3.89023e-10
1700 10 4.03792e-10
1710 10 4.07341e-10
1720 10 5.93008e-10
1730 10 6.09652e-10
1740 10 6.31419e-10
1750 10 5.53909e-10
1760 10 3.92332e-10
1770 10 3.86996e-10
1780 10 3.75427e-10
1790 10 3.67099e-10
1800 10 3.56853e-10
1810 10 3.47673e-10
1820 10 3.45176e-10
1830 10 3.42871e-10
1840 10 3.42027e-10
1850 10 3.39069e-10
1860 10 3.40924e-10
1870 10 3.97632e-10
1880 10 4.10151e-10
1890 10 4.02549e-10
1900 10 4.01877e-10
1910 10 4.31066e-10
1920 10 4.17976e-10
1930 10 4.21796e-10
1940 10 3.33082e-10
1950 10 3.31402e-10
1960 10 3.30646e-10
1970 10 3.41838e-10
1980 10 3.34717e-10
1990 10 3.48876e-10
2000 10 4.23285e-10
2010 10 3.56957e-10
2020 10 3.54003e-10
2030 10 3.23561e-10
2040 10 3.40044e-10
