mass ctau ul
500 100 3.33385e-08
510 100 3.26378e-08
520 100 3.1809e-08
530 100 3.17957e-08
540 100 3.20589e-08
550 100 3.07843e-08
560 100 3.10521e-08
570 100 3.01522e-08
580 100 3.08198e-08
590 100 3.12626e-08
600 100 3.04992e-08
610 100 3.06877e-08
620 100 2.96024e-08
630 100 2.9913e-08
640 100 2.99735e-08
650 100 2.90296e-08
660 100 2.8689e-08
670 100 2.73344e-08
680 100 2.76706e-08
690 100 2.75583e-08
700 100 2.69344e-08
710 100 2.6969e-08
720 100 2.63894e-08
730 100 2.63366e-08
740 100 2.61496e-08
750 100 2.60228e-08
760 100 2.60228e-08
770 100 2.55147e-08
780 100 2.55147e-08
790 100 2.3673e-08
800 100 2.32312e-08
810 100 2.31127e-08
820 100 2.27085e-08
830 100 2.31805e-08
840 100 2.28271e-08
850 100 2.2256e-08
860 100 4.07292e-08
870 100 4.04985e-08
880 100 3.99419e-08
890 100 2.36049e-08
900 100 1.97038e-08
910 100 1.97461e-08
920 100 1.96124e-08
930 100 1.94529e-08
940 100 1.96374e-08
950 100 1.9518e-08
960 100 1.92573e-08
970 100 2.26947e-08
980 100 3.42406e-08
990 100 3.42458e-08
1000 100 3.39503e-08
1010 100 1.85431e-08
1020 100 1.69454e-08
1030 100 1.67199e-08
1040 100 1.63727e-08
1050 100 1.61669e-08
1060 100 4.74915e-08
1070 100 4.7838e-08
1080 100 4.72547e-08
1090 100 1.77506e-08
1100 100 1.59662e-08
1110 100 1.59483e-08
1120 100 3.23328e-08
1130 100 3.19085e-08
1140 100 3.17047e-08
1150 100 1.69056e-08
1160 100 1.51714e-08
1170 100 1.82059e-08
1180 100 1.82446e-08
1190 100 1.84437e-08
1200 100 1.82118e-08
1210 100 1.83033e-08
1220 100 1.81754e-08
1230 100 1.81018e-08
1240 100 1.96453e-08
1250 100 1.91033e-08
1260 100 1.89316e-08
1270 100 1.87659e-08
1280 100 1.84713e-08
1290 100 1.85294e-08
1300 100 1.8193e-08
1310 100 1.68661e-08
1320 100 1.67107e-08
1330 100 1.66857e-08
1340 100 1.66931e-08
1350 100 1.6774e-08
1360 100 1.66713e-08
1370 100 1.65012e-08
1380 100 1.62298e-08
1390 100 3.07001e-08
1400 100 3.06688e-08
1410 100 3.05799e-08
1420 100 1.79318e-08
1430 100 1.61751e-08
1440 100 1.60812e-08
1450 100 1.5872e-08
1460 100 1.59788e-08
1470 100 1.47358e-08
1480 100 1.45239e-08
1490 100 1.47785e-08
1500 100 1.46934e-08
1510 100 1.56138e-08
1520 100 1.42978e-08
1530 100 1.41199e-08
1540 100 1.52851e-08
1550 100 2.71797e-08
1560 100 2.71953e-08
1570 100 2.59117e-08
1580 100 1.40615e-08
1590 100 1.26656e-08
1600 100 1.38691e-08
1610 100 2.48969e-08
1620 100 2.39276e-08
1630 100 2.37393e-08
1640 100 1.1475e-08
1650 100 2.29399e-08
1660 100 2.27664e-08
1670 100 2.38008e-08
1680 100 2.3432e-08
1690 100 1.11367e-08
1700 100 2.21683e-08
1710 100 2.2139e-08
1720 100 3.42566e-08
1730 100 3.52471e-08
1740 100 2.29985e-08
1750 100 1.21854e-08
1760 100 1.08574e-08
1770 100 1.19531e-08
1780 100 1.30641e-08
1790 100 2.38253e-08
1800 100 2.40194e-08
1810 100 2.38931e-08
1820 100 1.4095e-08
1830 100 1.28877e-08
1840 100 1.40978e-08
1850 100 1.40638e-08
1860 100 1.2746e-08
1870 100 1.15875e-08
1880 100 1.14286e-08
1890 100 1.03008e-08
1900 100 1.0568e-08
1910 100 1.15664e-08
1920 100 1.16083e-08
1930 100 1.16029e-08
1940 100 1.25787e-08
1950 100 2.42465e-08
1960 100 3.32043e-08
1970 100 3.29389e-08
1980 100 3.19356e-08
1990 100 2.04289e-08
2000 100 1.95774e-08
2010 100 9.35844e-09
2020 100 8.47788e-09
2030 100 8.37323e-09
2040 100 1.88167e-08
