mass ctau ul
500 1 9.85643e-10
510 1 9.50532e-10
520 1 9.15016e-10
530 1 1.03553e-09
540 1 1.00603e-09
550 1 1.01773e-09
560 1 9.67603e-10
570 1 9.22853e-10
580 1 1.03816e-09
590 1 1.18977e-09
600 1 1.14126e-09
610 1 1.26803e-09
620 1 1.09994e-09
630 1 1.18422e-09
640 1 1.23956e-09
650 1 1.11602e-09
660 1 1.03621e-09
670 1 9.1776e-10
680 1 1.00406e-09
690 1 9.7442e-10
700 1 9.76723e-10
710 1 1.00662e-09
720 1 9.54753e-10
730 1 9.07186e-10
740 1 9.87857e-10
750 1 1.00161e-09
760 1 1.00163e-09
770 1 1.00388e-09
780 1 1.0039e-09
790 1 9.31462e-10
800 1 9.33366e-10
810 1 9.28628e-10
820 1 9.30378e-10
830 1 1.17712e-09
840 1 1.00589e-09
850 1 9.97949e-10
860 1 1.73498e-09
870 1 1.7164e-09
880 1 1.71995e-09
890 1 1.01063e-09
900 1 9.32992e-10
910 1 9.16865e-10
920 1 8.67496e-10
930 1 9.08764e-10
940 1 9.92585e-10
950 1 9.79471e-10
960 1 8.98317e-10
970 1 1.10059e-09
980 1 1.65579e-09
990 1 1.67277e-09
1000 1 1.57176e-09
1010 1 8.58482e-10
1020 1 7.84524e-10
1030 1 7.84245e-10
1040 1 7.4187e-10
1050 1 7.81451e-10
1060 1 2.38497e-09
1070 1 2.34844e-09
1080 1 2.34851e-09
1090 1 9.4284e-10
1100 1 8.21709e-10
1110 1 8.568e-10
1120 1 1.70773e-09
1130 1 1.70049e-09
1140 1 1.67248e-09
1150 1 9.08595e-10
1160 1 7.42644e-10
1170 1 9.52002e-10
1180 1 1.07337e-09
1190 1 1.06622e-09
1200 1 1.0818e-09
1210 1 1.13749e-09
1220 1 1.0244e-09
1230 1 1.14878e-09
1240 1 1.28463e-09
1250 1 1.10672e-09
1260 1 9.86213e-10
1270 1 9.649e-10
1280 1 1.0103e-09
1290 1 9.45544e-10
1300 1 9.26496e-10
1310 1 9.20024e-10
1320 1 9.29199e-10
1330 1 9.69998e-10
1340 1 9.70685e-10
1350 1 1.01148e-09
1360 1 1.09301e-09
1370 1 1.03885e-09
1380 1 1.0132e-09
1390 1 1.73511e-09
1400 1 1.74769e-09
1410 1 1.86539e-09
1420 1 1.14609e-09
1430 1 9.84741e-10
1440 1 9.75323e-10
1450 1 1.02503e-09
1460 1 9.19909e-10
1470 1 9.11702e-10
1480 1 9.61751e-10
1490 1 1.06008e-09
1500 1 1.0768e-09
1510 1 1.00543e-09
1520 1 9.13446e-10
1530 1 9.38448e-10
1540 1 1.01388e-09
1550 1 1.67767e-09
1560 1 1.75996e-09
1570 1 1.7396e-09
1580 1 9.97654e-10
1590 1 7.28479e-10
1600 1 8.58683e-10
1610 1 1.55892e-09
1620 1 1.52439e-09
1630 1 1.57753e-09
1640 1 8.06073e-10
1650 1 1.62028e-09
1660 1 1.64825e-09
1670 1 1.63403e-09
1680 1 1.5742e-09
1690 1 7.8116e-10
1700 1 1.48214e-09
1710 1 1.50476e-09
1720 1 2.32834e-09
1730 1 2.3518e-09
1740 1 1.56418e-09
1750 1 8.21945e-10
1760 1 7.37385e-10
1770 1 8.07929e-10
1780 1 1.00825e-09
1790 1 1.67181e-09
1800 1 1.6537e-09
1810 1 1.73402e-09
1820 1 1.0176e-09
1830 1 8.8595e-10
1840 1 1.01751e-09
1850 1 9.73893e-10
1860 1 9.16136e-10
1870 1 7.26006e-10
1880 1 7.15994e-10
1890 1 6.57994e-10
1900 1 7.09836e-10
1910 1 8.28428e-10
1920 1 8.30569e-10
1930 1 8.33237e-10
1940 1 1.00097e-09
1950 1 1.76044e-09
1960 1 2.42644e-09
1970 1 2.39306e-09
1980 1 2.30666e-09
1990 1 1.47161e-09
2000 1 1.55748e-09
2010 1 8.35837e-10
2020 1 7.98048e-10
2030 1 5.81797e-10
2040 1 1.28493e-09
