mass ctau ul
500 10 4.00239e-09
510 10 3.81096e-09
520 10 3.78408e-09
530 10 3.79348e-09
540 10 3.86179e-09
550 10 3.67041e-09
560 10 3.75036e-09
570 10 3.59333e-09
580 10 3.71505e-09
590 10 3.78305e-09
600 10 3.69926e-09
610 10 3.73413e-09
620 10 3.6575e-09
630 10 3.56816e-09
640 10 3.58834e-09
650 10 3.62473e-09
660 10 3.50837e-09
670 10 3.33369e-09
680 10 3.40795e-09
690 10 3.37329e-09
700 10 3.3551e-09
710 10 3.3141e-09
720 10 3.37339e-09
730 10 3.28518e-09
740 10 3.25253e-09
750 10 3.2573e-09
760 10 3.25742e-09
770 10 3.21154e-09
780 10 3.21167e-09
790 10 2.98003e-09
800 10 2.94022e-09
810 10 2.92539e-09
820 10 2.88909e-09
830 10 2.91939e-09
840 10 2.91598e-09
850 10 2.74558e-09
860 10 5.1424e-09
870 10 5.09442e-09
880 10 5.03116e-09
890 10 3.02246e-09
900 10 2.49932e-09
910 10 2.56317e-09
920 10 2.54048e-09
930 10 2.52233e-09
940 10 2.56567e-09
950 10 2.56344e-09
960 10 2.54476e-09
970 10 2.93725e-09
980 10 4.46512e-09
990 10 4.4061e-09
1000 10 4.47796e-09
1010 10 2.44601e-09
1020 10 2.23545e-09
1030 10 2.21397e-09
1040 10 2.20728e-09
1050 10 2.12215e-09
1060 10 6.17707e-09
1070 10 6.28115e-09
1080 10 6.25028e-09
1090 10 2.35676e-09
1100 10 2.07766e-09
1110 10 2.13094e-09
1120 10 4.28543e-09
1130 10 4.26404e-09
1140 10 4.21941e-09
1150 10 2.24271e-09
1160 10 2.07242e-09
1170 10 2.41407e-09
1180 10 2.40075e-09
1190 10 2.51128e-09
1200 10 2.50762e-09
1210 10 2.36925e-09
1220 10 2.49744e-09
1230 10 2.47573e-09
1240 10 2.66109e-09
1250 10 2.6025e-09
1260 10 2.58595e-09
1270 10 2.58689e-09
1280 10 2.51377e-09
1290 10 2.49072e-09
1300 10 2.49101e-09
1310 10 2.30777e-09
1320 10 2.30712e-09
1330 10 2.25693e-09
1340 10 2.22752e-09
1350 10 2.33686e-09
1360 10 2.36752e-09
1370 10 2.29704e-09
1380 10 2.20649e-09
1390 10 4.26687e-09
1400 10 4.25861e-09
1410 10 4.29016e-09
1420 10 2.55013e-09
1430 10 2.24696e-09
1440 10 2.20262e-09
1450 10 2.22685e-09
1460 10 2.19277e-09
1470 10 2.00095e-09
1480 10 2.09296e-09
1490 10 2.00195e-09
1500 10 2.04336e-09
1510 10 2.25602e-09
1520 10 1.99605e-09
1530 10 2.00066e-09
1540 10 2.11056e-09
1550 10 3.86325e-09
1560 10 3.91366e-09
1570 10 3.64323e-09
1580 10 2.0247e-09
1590 10 1.85132e-09
1600 10 1.90999e-09
1610 10 3.46282e-09
1620 10 3.34922e-09
1630 10 3.34201e-09
1640 10 1.65675e-09
1650 10 3.21677e-09
1660 10 3.23435e-09
1670 10 3.42193e-09
1680 10 3.37182e-09
1690 10 1.63961e-09
1700 10 3.1312e-09
1710 10 3.20509e-09
1720 10 4.88884e-09
1730 10 5.0817e-09
1740 10 3.30514e-09
1750 10 1.71014e-09
1760 10 1.57122e-09
1770 10 1.69951e-09
1780 10 1.88896e-09
1790 10 3.41447e-09
1800 10 3.49331e-09
1810 10 3.4769e-09
1820 10 2.101e-09
1830 10 1.90648e-09
1840 10 2.01735e-09
1850 10 2.05316e-09
1860 10 1.86877e-09
1870 10 1.73611e-09
1880 10 1.77153e-09
1890 10 1.5962e-09
1900 10 1.57742e-09
1910 10 1.67685e-09
1920 10 1.69034e-09
1930 10 1.66878e-09
1940 10 1.82733e-09
1950 10 3.593e-09
1960 10 4.88851e-09
1970 10 4.75394e-09
1980 10 4.657e-09
1990 10 2.97818e-09
2000 10 2.84531e-09
2010 10 1.40072e-09
2020 10 1.17127e-09
2030 10 1.2735e-09
2040 10 2.73898e-09
